Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price
Lenovo,Notebook,8,2.3,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,10.895234994607796
Asus,Ultrabook,8,1.1,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows,11.510857728676225
Lenovo,2 in 1 Convertible,4,1.74,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows,10.419692282932576
Asus,Gaming,32,3.8,0,1,127.33567457123112,Intel Core i7,0,512,Nvidia,Windows,11.912578515747589
Dell,Notebook,16,2.3,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,11.049906436113686
HP,Notebook,4,1.64,0,0,111.93520355955212,Intel Core i5,500,0,Intel,Windows,10.633572072102885
Dell,Notebook,12,2.3,0,0,100.45466986113652,Intel Core i7,1000,0,Intel,Windows,10.545140618545505
Dell,Notebook,8,2.33,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others,10.633405177560588
MSI,Gaming,8,2.4,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,11.089517135798168
Mediacom,Notebook,4,1.4,0,0,157.3505121487356,Other Intel Processor,0,32,Intel,Windows,9.49301392269684
Dell,Notebook,4,1.93,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Others,10.742904151497523
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,11.189329334350775
Acer,Notebook,8,2.2,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,10.588945244611692
Asus,Ultrabook,8,1.7,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,10.93201122675303
Dell,2 in 1 Convertible,16,2.09,1,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows,11.047982926769505
Dell,2 in 1 Convertible,8,2.3,1,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows,10.97315700921406
HP,Notebook,4,1.88,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows,10.812893840917726
Dell,Notebook,8,1.9,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows,10.89180021486258
HP,Workstation,8,3.14,0,0,106.11306214269258,Intel Core i5,500,0,Nvidia,Windows,11.504424909404817
HP,Ultrabook,8,1.39,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows,11.02220830408089
Lenovo,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows,10.676292135779944
Dell,Ultrabook,8,1.6,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Others,10.977716980635757
HP,Notebook,8,2.04,0,0,100.45466986113652,Intel Core i5,1000,0,Nvidia,Windows,10.716671227805325
Dell,Notebook,4,1.8,0,0,100.45466986113652,Other Intel Processor,500,0,Intel,Windows,9.70890230312988
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Others,9.975737513942136
HP,Notebook,8,1.84,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows,11.18267988243989
Asus,Gaming,16,2.2,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows,11.254189968552817
Lenovo,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows,10.682362236272311
Asus,Gaming,16,2.9,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,11.76667053684216
Dell,Notebook,8,2.3,0,0,100.45466986113652,Intel Core i7,1000,0,AMD,Others,10.667632361713904
Dell,Notebook,4,2.18,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows,10.349904182775484
Toshiba,Notebook,8,2.2,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows,10.99575173454406
HP,Notebook,4,1.95,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,11.06979587215689
Acer,Notebook,12,2.15,1,1,141.21199808219862,Intel Core i7,1000,0,Intel,Windows,10.46628456073464
HP,Notebook,8,1.91,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows,10.336863503805128
MSI,Gaming,8,2.7,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows,11.226196538130814
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321180513006,Intel Core i7,0,1024,Intel,Windows,11.288114524334732
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others,10.003839546462832
Asus,Gaming,16,2.99,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,11.442360501250736
Dell,Notebook,4,2.25,0,0,100.45466986113652,Intel Core i3,1000,0,AMD,Others,10.118930877053268
HP,Notebook,6,2.1,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows,10.452533389121816
Asus,Gaming,8,3.0,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows,11.038609189620306
HP,Ultrabook,8,1.26,0,0,176.23257360658386,Intel Core i7,0,256,Intel,Windows,11.71489846116146
Lenovo,Notebook,8,2.3,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows,10.696986727022775
Lenovo,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,500,0,Intel,Windows,10.169762314876662
LG,Ultrabook,8,1.09,0,1,141.21199808219862,Intel Core i7,0,512,Intel,Windows,11.715790550995315
Dell,Workstation,16,2.17,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,11.563884703567355
Dell,Notebook,12,2.25,0,0,100.45466986113652,Intel Core i5,1000,0,Intel,Windows,10.450993742936223
Lenovo,2 in 1 Convertible,16,2.0,1,1,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows,11.52464373704442
HP,Gaming,8,3.35,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows,11.058109595587434
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows,9.964522443121997
HP,Notebook,8,2.5,0,0,127.33567457123112,Intel Core i5,0,256,Intel,Windows,10.808592759018332
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows,10.842494310694017
HP,Ultrabook,4,1.26,0,0,125.36742798669836,Intel Core i5,0,256,Intel,Windows,11.101648299531258
Dell,Ultrabook,8,1.29,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows,11.260381938800736
Dell,Notebook,8,1.64,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,11.129965423395353
Dell,Notebook,8,2.8,0,0,127.33567457123112,Intel Core i7,1000,128,AMD,Windows,11.016097416448089
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321180513006,Intel Core i7,0,512,Intel,Windows,11.588886005772771
Dell,Gaming,16,4.36,0,1,127.33567457123112,Intel Core i7,1000,128,Nvidia,Windows,11.801613023751164
Dell,Notebook,8,2.36,0,0,100.45466986113652,Intel Core i7,1000,0,AMD,Windows,10.594300009749354
HP,Netbook,8,1.26,0,0,176.23257360658386,Intel Core i7,0,512,Intel,Windows,11.277383368370064
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others,10.188167121983652
HP,Notebook,8,2.54,0,0,106.11306214269258,Intel Core i3,1000,0,Intel,Windows,10.167923515707006
HP,Ultrabook,8,1.26,0,0,176.23257360658386,Intel Core i7,0,256,Intel,Windows,11.18267988243989
Lenovo,Netbook,4,1.59,0,1,135.0942111925629,Other Intel Processor,0,128,Intel,Windows,10.290919027754468
Lenovo,Notebook,8,1.75,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows,10.99308509015976
Acer,Notebook,4,1.6,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,Windows,9.83063294843456
Lenovo,Notebook,4,1.5,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,Others,9.759386208561873
MSI,Gaming,16,2.7,0,0,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,11.283969856325212
HP,Notebook,4,1.32,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows,10.525211768465944
HP,Ultrabook,8,1.09,1,0,352.4651472131677,Other Intel Processor,0,240,Intel,Windows,12.01471841670537
Toshiba,Notebook,8,1.95,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,11.048830743691845
Dell,Gaming,16,4.42,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,11.781988742399806
Dell,Workstation,8,1.78,1,0,282.42399616439724,Intel Core i7,0,256,Nvidia,Windows,11.88100267529242
Toshiba,Notebook,8,2.2,0,0,100.45466986113652,Intel Core i7,500,0,Nvidia,Windows,10.675061366393813
HP,Notebook,8,2.1,0,1,100.45466986113652,Intel Core i7,1000,0,Intel,Windows,10.780175546294757
HP,Notebook,8,2.1,0,1,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows,10.54924119319278
HP,Notebook,8,2.04,0,0,100.45466986113652,AMD Processor,2000,0,AMD,Windows,10.419692282932576
Lenovo,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows,10.267130165790451
Mediacom,Notebook,4,1.4,0,1,161.72539083525606,Other Intel Processor,32,0,Intel,Windows,9.555290852218356
Lenovo,Notebook,6,2.4,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,10.519472871796928
Dell,Workstation,8,2.23,0,0,141.21199808219862,Other Intel Processor,1000,0,Nvidia,Windows,11.572957346444928
Asus,Notebook,8,2.0,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Windows,9.964522443121997
Dell,Ultrabook,8,1.2,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows,11.340108040487776
Lenovo,2 in 1 Convertible,4,1.8,1,1,141.21199808219862,Intel Core i7,0,256,Intel,Windows,10.717261720884188
HP,Notebook,4,1.48,0,0,111.93520355955212,Intel Core i5,0,256,Intel,Windows,10.978617394068182
Dell,Notebook,8,2.18,0,0,100.45466986113652,Intel Core i5,0,128,Intel,Windows,10.546429982871398
Lenovo,Notebook,8,1.99,0,1,141.21199808219862,Intel Core i7,0,512,Intel,Windows,11.430859511915424
Lenovo,Notebook,4,2.1,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Windows,10.03701794516015
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,10.658921971998408
HP,Notebook,8,2.04,0,0,100.45466986113652,Other Intel Processor,2000,0,Intel,Windows,9.93914036985058
Dell,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,0,128,Intel,Windows,10.826745953725876
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows,9.964522443121997
Lenovo,Notebook,4,2.79,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Windows,10.35398720988372
Dell,Notebook,8,2.06,1,0,282.42399616439724,Intel Core i5,0,256,Nvidia,Windows,11.442360501250736
Lenovo,Workstation,16,2.18,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows,11.50120100127367
Lenovo,2 in 1 Convertible,8,1.1,1,1,194.94753717542463,Other Intel Processor,0,256,Intel,Windows,11.144911042902732
Dell,Notebook,4,2.25,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Others,9.858883414720411
HP,Notebook,8,2.1,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows,10.754345923917311
Chuwi,Notebook,4,1.89,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows,9.476778419617322
Asus,Notebook,8,2.69,0,0,127.33567457123112,Intel Core i7,1000,128,Nvidia,Others,10.765658261746038
HP,Notebook,8,1.16,1,0,276.053530085501,Other Intel Processor,0,256,Intel,Windows,11.413356147904066
Lenovo,Notebook,4,1.9,0,0,100.45466986113652,Other Intel Processor,1000,0,Intel,Others,9.506417665734745
Lenovo,Notebook,8,1.1,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows,10.882315804880689
Asus,Gaming,64,3.58,0,1,127.33567457123112,Intel Core i7,0,1000,Nvidia,Windows,12.263341053320566
Lenovo,Notebook,4,2.1,0,0,111.93520355955212,Other Intel Processor,500,0,Intel,Windows,9.67600459962282
Dell,Gaming,32,4.42,0,1,127.33567457123112,Intel Core i7,1000,1000,Nvidia,Windows,12.161134189998078
HP,Notebook,8,1.43,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,11.29741074002049
Lenovo,Notebook,8,2.6,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows,10.776844060703754
Lenovo,Notebook,8,1.65,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,11.179710318268071
Apple,Ultrabook,16,1.83,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac,11.814475944954545
Dell,Ultrabook,8,1.23,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows,11.204674904025437
Microsoft,Ultrabook,8,1.252,1,0,200.84255993695703,Intel Core i7,0,256,Intel,Windows,11.508104342010856
MSI,Gaming,8,2.6,0,0,127.33567457123112,Intel Core i7,0,256,Nvidia,Windows,11.352694739066088
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows,10.56311104105693
HP,Ultrabook,8,1.84,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows,11.143362500418624
HP,Ultrabook,4,1.26,0,0,176.23257360658386,Intel Core i5,500,0,Intel,Windows,11.340108040487776
HP,Ultrabook,8,1.88,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows,11.658835785532077
